CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350420.11,0420.11 (5350420.11)   00000 (  4.2%),5305,475,1180,110,680,180,2675,1620,1055
5350420.13,0420.13 (5350420.13)   00000 (  2.8%),4530,390,910,135,705,150,2230,1555,670
5350420.14,0420.14 (5350420.14)   00000 (  3.9%),6015,620,1310,190,975,265,2650,1770,880
5350420.15,0420.15 (5350420.15)   00000 (  4.8%),2005,180,470,60,190,80,1025,700,330
5350421.01,0421.01 (5350421.01)   00000 (  3.8%),5890,830,1355,245,880,155,2425,1485,940
5350421.04,0421.04 (5350421.04)   00000 (  2.1%),3410,495,965,200,620,105,1025,630,390
5350421.05,0421.05 (5350421.05)   00000 (  4.2%),2940,200,735,195,430,95,1295,810,490
5350421.06,0421.06 (5350421.06)   00000 (  5.1%),3090,460,790,180,500,75,1080,675,405
5350421.07,0421.07 (5350421.07)   00000 (  5.0%),3665,425,950,195,670,90,1335,880,455
5350422.02,0422.02 (5350422.02)   00000 (  4.7%),4595,900,1250,305,925,175,1040,665,375
5350422.03,0422.03 (5350422.03)   00000 (  2.5%),5675,720,1355,165,810,130,2500,1750,750
5350422.04,0422.04 (5350422.04)   00000 (  2.0%),3335,385,845,55,355,160,1535,1120,410
5350422.05,0422.05 (5350422.05)   00000 (  0.0%),5900,805,1345,125,675,245,2705,1755,955
5350422.06,0422.06 (5350422.06)   00000 (  3.3%),4505,730,1325,200,815,190,1245,755,490
5350423.01,0423.01 (5350423.01)   00000 (  2.7%),3115,435,660,135,590,105,1185,695,490
5350423.02,0423.02 (5350423.02)   00000 (  3.9%),6520,870,1400,275,1095,165,2720,1705,1020
5350424.04,0424.04 (5350424.04)   00000 (  5.5%),2025,235,460,35,325,60,905,600,310
5350424.05,0424.05 (5350424.05)   00000 (  1.9%),7665,1180,1850,295,1205,235,2905,1995,910
5350424.07,0424.07 (5350424.07)   00000 (  3.1%),6710,870,1400,190,940,260,3045,1965,1085
5350424.08,0424.08 (5350424.08)   00000 (  2.7%),6300,840,1475,260,900,215,2620,1655,965
5350424.09,0424.09 (5350424.09)   00000 (  5.6%),2740,425,710,110,565,65,865,630,235
5350424.1,0424.10 (5350424.10)   00000 (  4.0%),5010,700,1180,280,1020,170,1655,1090,570
5350424.11,0424.11 (5350424.11)   00000 (  3.0%),6440,840,1600,325,1180,175,2315,1550,765
5350424.13,0424.13 (5350424.13)   00000 (  4.7%),1825,200,415,35,285,65,825,545,275
5350424.14,0424.14 (5350424.14)   00000 (  3.6%),9855,1095,1895,315,1665,320,4560,3165,1400
5350424.15,0424.15 (5350424.15)   00000 (  1.5%),7675,920,1645,255,1295,270,3295,2220,1080
5350424.16,0424.16 (5350424.16)   00000 (  0.8%),6755,765,1315,220,905,255,3290,2230,1060
5350430.03,0430.03 (5350430.03)   00000 (  4.8%),4235,575,1340,205,815,70,1225,890,340
5350430.05,0430.05 (5350430.05)   00000 (  2.1%),5515,855,1430,235,1085,110,1795,1290,505
5350430.06,0430.06 (5350430.06)   00000 (  2.8%),4755,760,1235,175,1055,125,1410,1075,330
5350430.07,0430.07 (5350430.07)   00000 (  0.7%),5950,885,1575,305,1195,145,1845,1360,485
5350430.08,0430.08 (5350430.08)   00000 (  1.3%),4410,750,1135,205,940,120,1270,855,420
5350431.01,0431.01 (5350431.01)   00000 (  5.1%),5625,650,1690,455,1185,185,1460,1010,450
5350431.02,0431.02 (5350431.02)   00000 (  3.7%),5555,795,1725,305,990,200,1540,1085,455
5350440,0440.00 (5350440.00)   00000 (  3.1%),5835,760,1455,290,1015,235,2075,1485,595
5350441.02,0441.02 (5350441.02)   00000 (  4.6%),3700,575,1020,170,735,110,1090,795,295
5350441.03,0441.03 (5350441.03)   00000 (  4.2%),6170,780,1545,265,1250,190,2135,1540,595
5350441.04,0441.04 (5350441.04)   00000 (  3.6%),4725,575,1210,270,950,110,1620,1165,455
5350442.02,0442.02 (5350442.02)   00000 (  6.2%),3410,560,990,210,705,90,855,600,255
5350442.03,0442.03 (5350442.03)   00000 (  3.2%),4540,485,1130,190,750,125,1865,1205,655
5350442.04,0442.04 (5350442.04)   00000 (  2.6%),3055,325,845,155,770,85,880,675,205
5350442.05,0442.05 (5350442.05)   00000 (  3.3%),5720,705,1370,315,1180,170,1980,1360,620
5350442.06,0442.06 (5350442.06)   00000 (  3.5%),7715,860,1765,205,1460,260,3165,2165,1005
5350450.02,0450.02 (5350450.02)   00000 (  4.1%),2370,420,620,160,615,55,495,375,115
5350450.03,0450.03 (5350450.03)   00000 (  3.1%),6765,925,2010,325,1605,205,1700,1260,435
5350450.05,0450.05 (5350450.05)   00000 (  2.2%),4980,725,1215,235,1110,125,1580,1175,405
5350450.06,0450.06 (5350450.06)   00000 (  5.3%),6090,860,1305,260,1075,145,2445,1605,845
5350451.01,0451.01 (5350451.01)   00000 (  2.6%),1830,340,530,120,415,25,395,300,95
5350451.02,0451.02 (5350451.02)   00000 (  5.7%),4190,790,1195,205,950,100,955,685,265
5350451.03,0451.03 (5350451.03)   00000 (  2.6%),5910,1000,1735,365,1260,190,1365,985,380
5350451.05,0451.05 (5350451.05)   00000 (  3.2%),3830,510,1015,120,875,95,1220,850,370
5350451.06,0451.06 (5350451.06)   00000 (  2.0%),5200,705,1640,210,1110,135,1395,1045,350
5350451.07,0451.07 (5350451.07)   00000 (  1.5%),3820,465,1010,165,895,115,1175,825,350
5350452.01,0452.01 (5350452.01)   00000 (  2.1%),2635,425,830,225,700,30,415,290,125
5350452.02,0452.02 (5350452.02)   00000 (  4.9%),4170,890,1355,300,910,55,650,435,215
5350452.03,0452.03 (5350452.03)   00000 (  1.7%),4680,710,1360,260,1175,120,1065,815,250
5350452.05,0452.05 (5350452.05)   00000 (  2.9%),3420,450,870,185,710,85,1110,760,350
5350452.06,0452.06 (5350452.06)   00000 (  2.5%),3495,480,975,130,770,70,1065,760,310
5350452.07,0452.07 (5350452.07)   00000 (  3.1%),4520,580,1270,245,1145,125,1160,885,270
5350455,0455.00 (5350455.00)   00000 (  0.0%),6475,985,1810,425,1595,160,1500,1160,340
5350456.01,0456.01 (5350456.01)   00000 (  5.2%),3625,540,1025,270,775,60,955,640,320
5350456.02,0456.02 (5350456.02)   00000 (  3.7%),5790,900,1535,380,1435,130,1405,1045,365
5350456.03,0456.03 (5350456.03)   00000 (  4.9%),3445,640,1085,310,880,50,475,370,105
5350460.01,0460.01 (5350460.01)   00000 (  4.4%),5800,775,1450,355,1060,125,2035,1425,610
5350460.02,0460.02 (5350460.02)   00000 (  4.4%),3065,410,875,205,595,75,905,640,265
5350461.01,0461.01 (5350461.01)   00000 (  4.4%),4355,765,1105,320,915,100,1155,860,295
5350461.02,0461.02 (5350461.02)   00000 (  4.3%),6705,1055,1905,550,1355,115,1725,1220,505
5350470,0470.00 (5350470.00)   00001 (  5.4%),2355,435,720,295,605,30,280,220,55
5350471,0471.00 (5350471.00)   00000 (  6.5%),2840,580,900,330,625,105,300,225,75
5350472,0472.00 (5350472.00)   00000 (  4.4%),5915,1140,1965,480,1420,105,805,615,190
5350473.01,0473.01 (5350473.01)   00000 (  3.2%),5235,1025,1805,355,1250,75,730,600,135
5350473.02,0473.02 (5350473.02)   00000 (  3.4%),5725,1165,2175,500,1145,115,615,490,125
5350473.03,0473.03 (5350473.03)   00000 (  4.2%),3110,690,1085,305,670,40,310,225,95
5350474,0474.00 (5350474.00)   00001 (  7.0%),4710,960,1535,510,1100,40,570,440,135
5350475,0475.00 (5350475.00)   00001 (  9.0%),5555,1190,1730,595,1335,95,610,450,160
5350476.01,0476.01 (5350476.01)   01212 ( 13.7%),210,50,55,30,60,10,15,15,10
5350476.02,0476.02 (5350476.02)   00001 (  8.0%),1830,370,615,180,450,40,185,150,30
5350480.01,0480.01 (5350480.01)   00001 (  7.2%),3530,970,1110,280,790,25,350,290,65
5350480.02,0480.02 (5350480.02)   00000 (  3.3%),8220,1750,2545,595,1580,165,1590,1265,325
5350481.01,0481.01 (5350481.01)   00000 (  3.1%),6445,1285,1800,400,1565,150,1240,965,275
5350481.02,0481.02 (5350481.02)   00001 (  7.3%),3530,805,1150,240,855,50,430,300,130
5350482,0482.00 (5350482.00)   00000 (  5.0%),6010,995,1860,530,1535,110,985,755,230
5350483.01,0483.01 (5350483.01)   00000 (  4.7%),3910,740,1285,325,1065,55,435,325,115
5350483.02,0483.02 (5350483.02)   00000 (  4.6%),2780,560,785,300,640,45,455,305,150
5350484.02,0484.02 (5350484.02)   00000 (  4.4%),4945,910,1680,415,1180,60,695,520,175
5350484.03,0484.03 (5350484.03)   00000 (  5.9%),3650,495,1170,345,855,90,695,485,210
5350484.04,0484.04 (5350484.04)   00001 (  8.1%),755,115,250,60,215,15,95,80,15
5350485.01,0485.01 (5350485.01)   00000 (  3.7%),6195,1110,2175,420,1400,90,1000,780,220
5350485.02,0485.02 (5350485.02)   00000 (  5.2%),5665,1440,1995,400,1205,75,550,450,95
5350500.01,0500.01 (5350500.01)   00000 (  4.5%),2915,585,925,210,575,50,570,410,160
5350500.02,0500.02 (5350500.02)   00000 (  5.0%),4185,920,1230,280,855,70,830,580,250
5350501.01,0501.01 (5350501.01)   00000 (  4.5%),4975,550,1335,215,1045,95,1745,1090,655
5350501.02,0501.02 (5350501.02)   00000 (  1.6%),5785,555,1375,185,975,110,2580,1585,995
5350502.01,0502.01 (5350502.01)   00000 (  3.4%),4670,830,1385,290,995,160,1005,655,350
5350502.02,0502.02 (5350502.02)   00000 (  5.3%),1975,345,625,125,440,40,400,280,120
5350503,0503.00 (5350503.00)   00001 (  5.6%),4230,790,1285,300,775,160,920,645,275
5350504,0504.00 (5350504.00)   00000 (  3.1%),2800,445,625,100,560,60,1010,605,400
5350505.01,0505.01 (5350505.01)   00000 (  4.4%),3810,325,805,150,600,110,1810,1160,655
5350505.02,0505.02 (5350505.02)   00000 (  0.5%),4700,455,1065,160,630,140,2260,1395,865
5350506,0506.00 (5350506.00)   00000 (  0.0%),2155,210,390,50,275,45,1180,735,440
5350507,0507.00 (5350507.00)   00000 (  2.9%),3050,385,705,150,460,65,1280,805,475
5350508,0508.00 (5350508.00)   00000 (  4.0%),2640,455,745,185,525,90,645,445,200
5350509.01,0509.01 (5350509.01)   00000 (  4.4%),4340,695,1195,275,885,130,1150,840,315
5350509.02,0509.02 (5350509.02)   00000 (  5.0%),2640,345,695,115,575,85,815,590,225
5350510,0510.00 (5350510.00)   00000 (  3.5%),4700,820,1435,275,940,115,1110,880,235
5350511.01,0511.01 (5350511.01)   00000 (  4.0%),4925,845,1440,280,885,170,1305,855,450
5350511.02,0511.02 (5350511.02)   00000 (  2.9%),4145,860,1315,330,690,120,830,575,255
5350512,0512.00 (5350512.00)   00000 (  1.1%),4560,935,1250,300,910,140,1025,680,345
5350513.01,0513.01 (5350513.01)   00000 (  3.4%),5970,735,1445,270,1230,240,2045,1315,725
5350513.02,0513.02 (5350513.02)   00000 (  5.3%),5275,1200,1460,285,910,160,1260,890,370
5350513.03,0513.03 (5350513.03)   00000 (  1.3%),2495,445,590,145,385,75,860,520,345
5350513.04,0513.04 (5350513.04)   00000 (  5.5%),3235,810,755,210,550,80,830,515,315
5350514.01,0514.01 (5350514.01)   00000 (  4.5%),1995,155,435,50,375,55,930,580,345
5350514.02,0514.02 (5350514.02)   00000 (  6.6%),4410,660,1145,160,720,115,1615,985,620
5350515.01,0515.01 (5350515.01)   00000 (  4.1%),3740,500,1090,205,805,120,1020,700,320
5350515.02,0515.02 (5350515.02)   00000 (  4.0%),2930,475,730,165,555,50,960,660,300
5350516.01,0516.01 (5350516.01)   00000 (  3.5%),4590,530,1265,235,1105,85,1370,940,435
5350516.02,0516.02 (5350516.02)   00000 (  3.1%),3975,450,1275,160,915,90,1085,770,315
5350516.03,0516.03 (5350516.03)   00000 (  5.0%),4765,695,1410,220,1105,100,1230,880,350
5350516.04,0516.04 (5350516.04)   00000 (  3.3%),5180,745,1440,245,1005,130,1620,1040,580
5350516.05,0516.05 (5350516.05)   00000 (  3.0%),5075,710,1570,290,1080,200,1235,920,315
5350516.06,0516.06 (5350516.06)   00000 (  6.5%),3900,665,1035,280,840,110,970,730,240
5350516.08,0516.08 (5350516.08)   00000 (  3.6%),5005,790,1550,325,980,125,1230,840,390
5350516.09,0516.09 (5350516.09)   00000 (  3.8%),5970,740,1670,360,1325,235,1640,1040,595
5350516.11,0516.11 (5350516.11)   00000 (  1.4%),3920,405,955,140,675,120,1615,1025,590
5350516.16,0516.16 (5350516.16)   00100 (  3.9%),4565,395,1155,190,950,165,1715,1065,645
5350516.17,0516.17 (5350516.17)   00000 (  5.0%),2955,445,665,140,685,65,955,635,320
5350516.18,0516.18 (5350516.18)   00000 (  4.8%),3025,295,825,165,715,65,965,705,255
5350516.2,0516.20 (5350516.20)   00000 (  2.4%),5210,640,1425,195,1080,110,1765,1280,485
5350516.21,0516.21 (5350516.21)   00000 (  1.4%),2535,320,610,130,520,60,900,595,305
5350516.22,0516.22 (5350516.22)   00000 (  4.2%),5620,760,1415,200,1070,160,2010,1370,640
5350516.23,0516.23 (5350516.23)   00000 (  3.0%),4720,560,1185,185,950,145,1690,1185,505
5350516.24,0516.24 (5350516.24)   00000 (  1.6%),3465,325,905,155,760,70,1245,920,325
5350516.25,0516.25 (5350516.25)   00000 (  2.8%),3260,455,845,165,645,85,1065,690,375
5350516.26,0516.26 (5350516.26)   00000 (  2.9%),5625,730,1685,260,1065,105,1780,1260,520
5350516.28,0516.28 (5350516.28)   00000 (  0.9%),4155,495,1070,80,660,100,1755,1170,585
5350516.29,0516.29 (5350516.29)   00000 (  1.9%),3915,510,940,115,740,115,1495,1000,500
5350516.3,0516.30 (5350516.30)   00000 (  1.1%),4955,455,1165,135,575,170,2450,1515,935
5350516.31,0516.31 (5350516.31)   00000 (  2.2%),2400,230,590,95,480,60,950,575,375
5350516.32,0516.32 (5350516.32)   00000 (  3.3%),4030,425,1015,140,760,120,1575,1110,465
5350516.37,0516.37 (5350516.37)   00000 (  3.4%),5075,700,1280,165,995,155,1775,1235,540
5350516.38,0516.38 (5350516.38)   00000 (  3.2%),5100,680,1235,150,790,100,2140,1390,755
5350516.39,0516.39 (5350516.39)   00000 (  3.6%),4070,485,1110,170,730,140,1445,1005,435
5350516.4,0516.40 (5350516.40)   00000 (  1.6%),5030,680,1190,195,1055,135,1775,1285,485
5350516.41,0516.41 (5350516.41)   00000 (  2.5%),4570,490,955,140,675,115,2205,1390,815
5350516.42,0516.42 (5350516.42)   00000 (  2.8%),6730,875,1480,220,1040,195,2925,1910,1010
5350516.43,0516.43 (5350516.43)   00000 (  4.3%),3760,390,915,95,615,115,1630,1055,575
5350516.44,0516.44 (5350516.44)   00000 (  2.4%),4205,540,860,85,570,185,1965,1290,675
5350516.46,0516.46 (5350516.46)   00000 (  1.1%),5920,775,1150,155,660,140,3035,2055,975
5350516.47,0516.47 (5350516.47)   00000 (  2.6%),3965,485,855,115,530,130,1840,1205,635
5350516.48,0516.48 (5350516.48)   00000 (  1.4%),4930,580,1075,80,490,115,2595,1720,870
5350516.49,0516.49 (5350516.49)   00000 (  2.0%),6960,815,1410,210,1090,210,3235,2095,1140
5350517,0517.00 (5350517.00)   00000 (  2.6%),1415,175,345,65,255,55,515,285,235
5350518,0518.00 (5350518.00)   00000 (  3.6%),3440,570,1060,185,640,105,880,615,270
5350519,0519.00 (5350519.00)   00000 (  4.8%),3160,510,905,170,755,100,720,465,260
5350520.01,0520.01 (5350520.01)   00000 (  6.7%),4700,850,1500,230,835,135,1160,820,345
5350520.02,0520.02 (5350520.02)   00000 (  4.1%),6080,955,1510,220,1165,135,2095,1560,535
5350520.05,0520.05 (5350520.05)   00000 (  5.5%),3090,605,755,145,525,85,970,655,320
5350520.07,0520.07 (5350520.07)   00000 (  3.9%),3975,575,1010,125,520,125,1620,975,645
5350520.08,0520.08 (5350520.08)   00000 (  3.7%),5360,775,1415,245,910,225,1780,1300,480
5350520.09,0520.09 (5350520.09)   00000 (  2.9%),5940,515,1180,200,990,215,2850,1815,1030
5350520.1,0520.10 (5350520.10)   00000 (  5.2%),8020,590,1850,220,1255,340,3765,2550,1215
5350521.01,0521.01 (5350521.01)   00000 (  2.2%),4790,695,1195,195,775,140,1790,1120,670
5350521.02,0521.02 (5350521.02)   00000 (  0.4%),2925,425,825,185,670,100,725,460,260
5350521.03,0521.03 (5350521.03)   00000 (  0.0%),4110,705,1175,175,680,210,1160,800,360
5350521.04,0521.04 (5350521.04)   00000 (  1.8%),5355,795,1500,345,1175,130,1400,970,435
5350521.05,0521.05 (5350521.05)   00000 (  2.2%),3695,805,1040,235,730,85,800,575,225
5350521.06,0521.06 (5350521.06)   00000 (  4.4%),4660,670,1170,210,790,155,1665,1035,630
5350522,0522.00 (5350522.00)   00000 (  4.9%),5125,1225,1310,340,920,120,1200,835,365
5350523,0523.00 (5350523.00)   00000 (  4.7%),5155,925,1495,430,950,150,1205,755,445
5350524.01,0524.01 (5350524.01)   00000 (  3.4%),3930,690,1325,185,735,125,865,610,255
5350524.02,0524.02 (5350524.02)   00000 (  3.5%),3100,565,865,215,555,95,815,540,275
5350525.01,0525.01 (5350525.01)   00000 (  2.4%),2710,640,855,145,445,60,565,375,190
5350525.02,0525.02 (5350525.02)   00000 (  1.9%),3800,685,1180,220,700,110,905,575,335
5350526.01,0526.01 (5350526.01)   00000 (  5.6%),4830,1105,1400,230,810,125,1155,705,450
5350526.02,0526.02 (5350526.02)   00000 (  2.5%),2735,495,670,155,485,80,855,525,330
5350527.01,0527.01 (5350527.01)   00001 (  6.5%),9185,840,2225,315,1515,285,4000,2610,1390
5350527.02,0527.02 (5350527.02)   00000 (  3.3%),4285,720,1105,255,810,110,1290,790,505
5350527.03,0527.03 (5350527.03)   00000 (  2.7%),7345,885,1785,340,1135,270,2925,1970,955
5350527.04,0527.04 (5350527.04)   00000 (  3.1%),5060,570,1340,270,975,195,1715,1105,605
5350527.05,0527.05 (5350527.05)   00000 (  2.1%),4840,810,1270,325,925,135,1380,890,485
5350527.06,0527.06 (5350527.06)   00000 (  2.8%),3260,520,830,235,635,100,940,605,335
5350527.07,0527.07 (5350527.07)   00000 (  1.4%),4080,910,1115,295,710,150,895,635,260
5350527.08,0527.08 (5350527.08)   00000 (  5.5%),3605,625,915,200,675,155,1040,740,300
5350527.09,0527.09 (5350527.09)   00000 (  3.7%),2995,430,880,95,525,105,960,630,330
5350528.01,0528.01 (5350528.01)   00000 (  2.1%),4880,735,1180,170,790,155,1845,1300,545
5350528.02,0528.02 (5350528.02)   00000 (  2.9%),6485,1120,1830,215,825,210,2275,1560,710
5350528.1,0528.10 (5350528.10)   00000 (  5.6%),7410,990,1985,375,1270,255,2535,1635,900
5350528.11,0528.11 (5350528.11)   00000 (  4.2%),4790,600,1105,230,750,140,1970,1385,585
5350528.12,0528.12 (5350528.12)   00000 (  3.7%),4930,555,1145,190,1010,130,1890,1305,590
5350528.13,0528.13 (5350528.13)   00000 (  3.0%),2695,430,680,80,405,55,1040,745,300
5350528.15,0528.15 (5350528.15)   00000 (  4.6%),3980,650,1130,115,560,140,1380,945,435
5350528.16,0528.16 (5350528.16)   00000 (  3.4%),4435,645,1110,135,765,130,1655,1220,435
5350528.18,0528.18 (5350528.18)   00000 (  0.0%),5730,840,1585,235,955,190,1930,1310,620
5350528.19,0528.19 (5350528.19)   00000 (  2.5%),4595,795,1230,150,810,100,1505,1020,485
5350528.2,0528.20 (5350528.20)   00000 (  2.4%),4965,1005,1360,225,915,145,1310,945,365
5350528.21,0528.21 (5350528.21)   00000 (  4.1%),3485,555,1055,160,575,115,1015,645,375
5350528.22,0528.22 (5350528.22)   00001 (  7.2%),5340,1145,1665,155,900,95,1375,920,460
5350528.24,0528.24 (5350528.24)   00000 (  6.4%),4590,715,1290,170,730,135,1540,995,550
5350528.25,0528.25 (5350528.25)   00000 (  3.2%),6305,920,1600,255,1075,245,2205,1555,650
5350528.26,0528.26 (5350528.26)   00001 (  8.3%),4555,875,1225,195,705,90,1470,1025,445
5350528.31,0528.31 (5350528.31)   00000 (  5.1%),5100,1250,1500,210,895,110,1140,690,450
5350528.32,0528.32 (5350528.32)   00000 (  1.7%),3510,575,940,95,475,115,1315,930,380
5350528.33,0528.33 (5350528.33)   00000 (  5.9%),5470,795,1310,215,1020,145,1990,1370,620
5350528.34,0528.34 (5350528.34)   00000 (  4.1%),5040,740,1240,285,990,115,1670,1240,425
5350528.35,0528.35 (5350528.35)   00000 (  3.1%),2490,420,660,140,405,70,795,495,305
5350528.36,0528.36 (5350528.36)   00000 (  4.7%),6600,1515,2115,185,870,140,1775,1170,605
5350528.37,0528.37 (5350528.37)   00000 (  2.2%),6590,1040,1505,165,1165,195,2525,1535,985
5350528.39,0528.39 (5350528.39)   00000 (  3.5%),5330,665,1315,155,965,205,2020,1380,640
5350528.4,0528.40 (5350528.40)   00000 (  3.6%),4860,720,1265,180,810,110,1780,1320,460
5350528.41,0528.41 (5350528.41)   00000 (  2.4%),6220,1100,1800,210,915,175,2010,1340,670
5350528.42,0528.42 (5350528.42)   00000 (  0.8%),4310,735,1105,130,565,105,1680,1225,455
5350528.43,0528.43 (5350528.43)   00000 (  2.3%),4015,545,1005,130,505,175,1650,1105,540
5350528.44,0528.44 (5350528.44)   00000 (  2.3%),1875,270,605,85,395,65,460,340,120
5350528.45,0528.45 (5350528.45)   00000 (  1.2%),4540,750,1115,200,815,185,1480,1015,465
5350528.46,0528.46 (5350528.46)   00000 (  2.9%),5605,760,1430,165,730,160,2350,1505,840
5350528.47,0528.47 (5350528.47)   00000 (  2.5%),4315,755,1195,160,655,90,1460,1030,430
5350528.48,0528.48 (5350528.48)   00000 (  2.3%),6170,1135,1500,165,830,155,2375,1565,810
5350528.49,0528.49 (5350528.49)   00000 (  2.6%),3650,545,805,130,580,80,1505,1010,500
5350529.01,0529.01 (5350529.01)   00001 (  8.9%),3275,695,970,215,475,70,850,495,360
5350529.02,0529.02 (5350529.02)   00001 (  6.8%),3620,980,985,180,510,85,890,525,365
5350530.01,0530.01 (5350530.01)   00001 (  6.3%),4075,990,1265,225,760,80,760,470,285
5350530.02,0530.02 (5350530.02)   00000 (  4.9%),2520,655,795,110,425,50,480,260,225
5350531.01,0531.01 (5350531.01)   00001 (  6.1%),3305,825,1085,185,530,65,615,430,185
5350531.02,0531.02 (5350531.02)   00001 (  5.8%),5470,1425,1570,285,1135,60,990,655,340
5350532.01,0532.01 (5350532.01)   00000 (  2.9%),3480,920,1125,200,495,80,660,420,240
5350532.02,0532.02 (5350532.02)   00000 (  2.7%),3790,975,1130,235,520,135,795,495,300
5350540.01,0540.01 (5350540.01)   00000 (  3.4%),4295,595,1105,255,1125,70,1145,730,415
